video_id,filename,path,source,split,condition,fps,width,height,duration_s,frame_count,annotated_frames,status,url,notes
YT_001,YT_001.mp4,data/raw_videos/youtube/YT_001.mp4,youtube,train_val,healthy,30,0,0,262.6,0,25,pending_download,https://www.youtube.com/watch?v=iYpDwhpILkQ,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_002,YT_002.mp4,data/raw_videos/youtube/YT_002.mp4,youtube,train_val,healthy,30,0,0,96.8,0,25,pending_download,https://www.youtube.com/watch?v=mJedwz_r2Pc,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_003,YT_003.mp4,data/raw_videos/youtube/YT_003.mp4,youtube,train_val,healthy,30,0,0,164.3,0,25,pending_download,https://www.youtube.com/watch?v=kyOlnK21ONc,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_004,YT_004.mp4,data/raw_videos/youtube/YT_004.mp4,youtube,train_val,healthy,30,0,0,150.3,0,25,pending_download,SEARCH:,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_005,YT_005.mp4,data/raw_videos/youtube/YT_005.mp4,youtube,train_val,healthy,30,0,0,288.8,0,25,pending_download,SEARCH: nasolaryngoscopy normal vocal folds phonation breathing,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_006,YT_006.mp4,data/raw_videos/youtube/YT_006.mp4,youtube,train_val,healthy,30,0,0,272.7,0,25,pending_download,SEARCH: laryngoscopy normal vocal folds sustained vowel,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_007,YT_007.mp4,data/raw_videos/youtube/YT_007.mp4,youtube,train_val,healthy,30,0,0,330.9,0,25,pending_download,SEARCH: flexible laryngoscopy normal glottis sniffing task,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_008,YT_008.mp4,data/raw_videos/youtube/YT_008.mp4,youtube,train_val,healthy,30,0,0,113.5,0,25,pending_download,SEARCH: in-office laryngoscopy normal vocal fold motion,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_009,YT_009.mp4,data/raw_videos/youtube/YT_009.mp4,youtube,train_val,healthy,30,0,0,203.9,0,25,pending_download,SEARCH: fiberoptic laryngoscopy tutorial normal vocal folds ENT,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_010,YT_010.mp4,data/raw_videos/youtube/YT_010.mp4,youtube,train_val,healthy,30,0,0,98.0,0,25,pending_download,SEARCH: flexible nasolaryngoscopy vocal cord normal movement,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
YT_011,YT_011.mp4,data/raw_videos/youtube/YT_011.mp4,youtube,train_val,healthy,30,0,0,149.0,0,25,pending_download,SEARCH: transnasal laryngoscopy normal glottis examination tutorial,White-light flexible in-office laryngoscopy; glottis must be clearly visible; yt-dlp best quality <=720p
